序号,分类,Tool,作用摘要,必填参数,全部参数,参数数量
78,其他,ft_goodwill_stock_detail,按报告期查询 A 股个股商誉明细，返回每只股票的商誉规模、商誉占净资产比例、净利润规模、净利润同比、上期商誉、公告日期、所属板块。数据来源于 xz02 数据库商誉明细表。,date,"date, page, page_size",3
79,其他,ft_goodwill_stock_impairment,按报告期查询 A 股个股商誉减值明细，返回每只股票的商誉规模、商誉变动、商誉占净资产比例、净利润规模、商誉减值占净利润比例、公告日期、所属板块。数据来源于 xz02 数据库商誉减值表。,date,"date, page, page_size",3
80,港股 / 港股通 / AH,ft_hk_cashflow,港股现金流量表分页查询，返回 `PaginatedResponse<HkCashflowItem>`。所有过滤条件可自由组合：`stock_code` 单独 → 查该股全部报告期；,无,"end_date, page, page_size, report_type, start_date, stock_code, year",7
81,港股 / 港股通 / AH,ft_hk_sh_stock_connect_members,获取沪市港股通成份列表（即通过上交所通道可买的港股标的）。无入参、无分页，返回内存快照 `Arc<[StockConnectMember]>`，每项仅含成份标的代码（`SymbolKey`）。,无,无,0
82,港股 / 港股通 / AH,ft_hk_sz_stock_connect_members,获取深市港股通成份列表（即通过深交所通道可买的港股标的）。无入参、无分页，返回内存快照 `Arc<[StockConnectMember]>`，每项仅含成份标的代码（`SymbolKey`）。,无,无,0
83,A股财务 / 业绩,ft_income,查询 A 股上市公司利润表数据，底表 `ashare_income`。返回**宽表**结构（每行一个报告期 + 多个财务科目列），数值字段为 `Option<Decimal>`，优先取「合并调整」报表类型，没有则取「合并未调整」。,无,"page, page_size, report_type, stock_code, year",5
84,指数 / 行业 / 板块,ft_index_description_all,获取全部指数的基础信息（全称、简称、市净率 PB、市盈率 TTM），返回**数组**（非分页）。覆盖沪深京三市全部指数，按 `symbol` 升序排列。,无,无,0
85,指数 / 行业 / 板块,ft_index_description_list_handler,分页获取中证系列指数（中证指数有限公司发布）的描述信息，含指数代码、来源机构（如「中证指数」）、指数名称、指数简介（编制说明文字）。返回**分页结构**：`total` 为指数总数，`index_descriptions` 为当页列表。,无,"page, page_size",2
86,指数 / 行业 / 板块,ft_index_weight_list_handler,分页获取单只中证系列指数某一期的**成份股权重明细**。返回**分页结构**，每项为一只成份股（`component_code` + `component_name`）在该期（`date`）的权重（`weight`，小数字符串）。,index_code,"date, index_code, page, page_size",4
87,指数 / 行业 / 板块,ft_index_weight_summary_handler,分页获取中证系列指数的**权重期数汇总**。返回**分页结构**，每项为一只指数（`index_code`）下所有可用的权重快照期数（`periods`），每个期数含采集 `date` 与 `url_hash`。,无,"page, page_size",2
88,资金 / 情绪 / 短线,ft_limit_down_pool,查询当日跌停股池。从内存涨跌停事件状态（`LIMIT_EVENT_MAP`）筛选 `limit_down_enter` 非空的股票，返回跌停相关字段：跌停价、进入跌停时间点数组、翘板时间数组、最后封板时间、开板（翘板）次数、跌停封单资金。,无,无,0
89,其他,ft_limit_event_timeline_3s,查询个股当日涨跌停事件 3 秒级时间线。每 3 秒将全市场涨跌停事件快照写入 ClickHouse，本接口读取内存中维护的最新涨跌停事件状态（`LIMIT_EVENT_MAP`），返回每只股票当日的涨跌停时间线：涨停价/跌停价、进入/炸板（涨停）/进入/翘板（跌停）时间点数组、首次封板/最后封板时间、炸板/开板次数、跌停封单资金等。,无,symbol,1
90,资金 / 情绪 / 短线,ft_limit_up_break_pool,查询当日炸板股池。从内存涨跌停事件状态（`LIMIT_EVENT_MAP`）筛选 `limit_up_break` 非空且当前状态非涨停（`status != limit_up`）的股票，即曾经封涨停但已被打开的标的，返回涨停相关字段。,无,无,0
91,资金 / 情绪 / 短线,ft_limit_up_pool,查询当日涨停股池。从内存涨跌停事件状态（`LIMIT_EVENT_MAP`）筛选 `limit_up_enter` 非空的股票，返回涨停相关字段：涨停价、进入涨停时间点数组、炸板时间数组、首次封板时间、炸板次数。,无,无,0
92,资金 / 情绪 / 短线,ft_limit_up_pool_yesterday,查询前一交易日涨停股池。取 `prev_trading_date`（前一交易日），从 ClickHouse 涨跌停事件表（`TABLE_TIMELINE`，FINAL）查询 `limit_up_enter` 非空的记录，返回结构与「涨停池」一致。,无,无,0
93,宏观经济,ft_lpr_monthly,查询中国贷款市场报价利率（LPR）月度汇总计算结果。按日期返回 LPR 1 年期利率（`file_id` = M00000553）与 5 年期利率（M00000554）的当日值。,无,无,0
94,期货,ft_major_contract,按签约日期区间查询 A 股上市公司披露的重大合同，返回合同双方、合同类型/名称、合同金额、占上年营收比例、签约日/披露日等。数据来源于东方财富（eastmoney）重大合同数据。,"start_date, end_date","end_date, start_date",2
95,期货,ft_major_contract_by_symbol,按证券代码（标的）查询该 A 股上市公司披露的重大合同，返回合同双方、合同类型/名称、合同金额、占上年营收比例、签约日/披露日等。数据来源于东方财富（eastmoney）重大合同数据。,symbol,"page, page_size, symbol",3
96,期货,ft_major_contract_summary,近一年 A 股上市公司重大合同汇总，按证券代码汇总该年度的合同笔数、合同金额合计、上一年金额合计、去年营收、营收占比、最新营收等。数据来源于东方财富（eastmoney）重大合同汇总数据。,无,"page, page_size",2
97,其他,ft_margin_trading_details,查询融资融券明细，按交易日返回全市场两融快照（每标的一行）。支持按 `date` 指定交易日；,无,"date, page, page_size",3
98,其他,ft_margin_trading_details_paginated,融资融券明细分页查询（v0 内部接口）。与 `margin_trading_details` 行为一致：传入 `date` 时读取文件中心当日 CSV，不传时回退内存 `MARGIN_TRADE` 快照；,无,"date, page, page_size",3
99,资金 / 情绪 / 短线,ft_northbound,查询北向资金（沪深股通）交易日交易数据。按交易日返回当日北向资金成交总额、币种，以及沪股通（SH）/ 深股通（SZ）分市场通道的成交额与成交笔数。,date,date,1
100,A股财务 / 业绩,ft_performance_forecasts_paginated,查询 A 股上市公司**业绩预告**数据，底表 `ashare_perf_fcst`（经 Redis 缓存）。每条记录是一个标的在一个报告期的预告：含预告类型（预增 / 预减 / 略增 / 略减 / 续亏 / 扭亏 / 续盈 等）、预测值上下限、同比变化上下限、去年同期值。,无,"page, page_size, report_type, stock_code, year",5
101,宏观经济,ft_reserve_ratio_monthly,查询中国人民币存款准备金率月度汇总计算结果。按日期返回中小型金融机构（`file_id` = M00000550）与大型金融机构（M00000549）的存款准备金率当月值。,无,无,0
102,A股基础 / 行情,ft_risk_warning_stock_quotes,查询指定交易日的风险警示股票名单及其实时行情。每项在「风险警示股」基础上 `flatten` 嵌入 `StockInfo`（实时行情快照），含最新价、开/高/低/前收、涨跌额/涨跌幅、成交量/成交额、均价、委比、多周期涨跌幅、涨停/跌停价及是否封板、市值、流通股本等。,date,date,1
103,A股基础 / 行情,ft_risk_warning_stocks,查询指定交易日的风险警示股票基础名单（ST/*ST 等）。返回当日风险警示股票的代码、名称、风险类型标签。,date,date,1
104,新闻 / 公告 / 研报,ft_semantic_search_news_handler,语义搜索新闻接口。根据搜索文字 `query` 转调外部语义检索服务，返回相关新闻列表。,query,"end_time, limit, query, start_time, year",5
105,港股 / 港股通 / AH,ft_sh_hk_stock_connect_members,获取沪股通成份列表（即通过港股市场可买的上交所 A 股标的）。无入参、无分页，返回内存快照 `Arc<[StockConnectMember]>`，每项仅含成份标的代码（`SymbolKey`）。,无,无,0
106,A股股东 / 股权 / 公司事件,ft_shareholders_meeting,查询 A 股上市公司股东大会通知信息，返回每场股东大会的会议名称、股权登记日、现场/网络投票起止日、决议公告日、通知日期及审议议案等。数据来源于东方财富（eastmoney）股东大会公告，底层通过 `load_shareholders_meeting` 全量加载后分页返回。,无,"page, page_size",2
107,资金 / 情绪 / 短线,ft_southbound,查询南向资金（港股通）交易日交易数据。按交易日返回当日南向资金合计买入额/卖出额/净买额/成交笔数，以及沪港通（SH_HK）/ 深港通（SZ_HK）分市场通道明细。,date,date,1
108,ETF / 基金,ft_stk_limit,每日涨跌停价格接口（Tushare `stk_limit` 风格）。支持多种查询模式：① 按 `trade_date` 查单日全市场（可用 `instrument_type` 过滤 stock/etf/cb，不传返回三类、排除指数）；,无,"end_date, instrument_type, market_id, page, page_size, start_date, symbol, symbol_id, trade_date",9
109,A股基础 / 行情,ft_stk_premarket,每日股本（盘前）数据接口（Tushare `stk_premarket` 风格）。支持多种查询模式：① 按 `trade_date` 查单日全市场；,无,"end_date, page, page_size, start_date, trade_date, ts_code",6
110,ETF / 基金,ft_stock_adjust_factor,查询股票复权因子（当日复权因子 + 截至当日累计复权因子）。支持两种模式：① 单日扫描——指定 `trade_date` 返回该日复权因子快照，未指定 `symbol` 时返回所有标的单日快照；,无,"end_date, limit, offset, start_date, symbol, trade_date",6
111,新闻 / 公告 / 研报,ft_stock_announcements,查询 A 股公告列表，底层从 ClickHouse `ashare_announcements` 表查询并通过 Redis 缓存。同一路径两种模式：① **按标的**——`stock_code` 存在时查询单票所有公告；,"type, page, page_size","end_date, page, page_size, start_date, stock_code, type",6
112,ETF / 基金,ft_stock_candlesticks,获取标的（股票/ETF/指数/债券）历史 K 线，返回**数组**（非分页）。日K典型返回每根 K 线含开高低收 + 成交量 + 成交额，价格单位元。,"symbol, interval_unit, until_ts_millis","adjust_kind, interval_unit, interval_value, limit, since_ts_millis, symbol, until_ts_millis",7
113,ETF / 基金,ft_stock_candlesticks_batch,"批量获取多个标的历史 K 线（股票/ETF/指数/债券）。返回数组，每项为 `(symbol, Vec<StockCandlestick>)`。","symbols, interval_unit, until_ts_millis","adjust_kind, interval_unit, interval_value, limit, since_ts_millis, symbols, until_ts_millis",7
114,资金 / 情绪 / 短线,ft_stock_capital_flows_paginated,查询股票资金流向，按交易日返回全市场个股资金净流入分档：超大单 / 大单 / 中单 / 小单净流入，并派生主力净流入（= 超大单 + 大单）。传入 `date` 时按 `ts_nanos` 分区日期从 ClickHouse 查询该交易日 15:30 快照，不传时使用当前内存缓存（`CAPITAL_FLOW_MAP`）。,无,"date, page, page_size",3
115,资金 / 情绪 / 短线,ft_stock_comment_desire_em,查询单只 A 股的千股千评「市场热度-市场参与意愿」序列。按交易日返回该标的的市场参与意愿指数、5 日参与意愿、及其变化值。,symbol,symbol,1
116,资金 / 情绪 / 短线,ft_stock_comment_em,查询东方财富「千股千评」主表数据。返回全市场 A 股的千股千评综合快照，包含证券代码、简称、交易日、收盘价、涨跌幅、换手率、动态市盈率、主力成本、机构参与度、综合评分、排名、市场关注度等字段。,无,"page, page_size",2
117,美股,ft_stock_comment_focus_em,查询单只 A 股的千股千评「市场热度-用户关注指数」序列。按交易日返回该标的的用户关注度、关注度排名、全市场总数、关注度变化及收盘价。,symbol,symbol,1
118,资金 / 情绪 / 短线,ft_stock_comment_org_participate_em,查询单只 A 股的「机构参与度」历史序列。机构参与度来自千股千评主表，反映机构资金对该标的的参与活跃程度。,symbol,symbol,1
119,资金 / 情绪 / 短线,ft_stock_comment_score_em,查询单只 A 股的千股千评「综合评价-历史评分」序列。按诊断日期返回该标的历史综合评分。,symbol,symbol,1
120,A股基础 / 行情,ft_stock_filter,股票实时行情筛选接口。支持按板块/交易所 `board` 与上市日期起点 `listing_date_since` 筛选股票，并返回筛选股票的实时行情（开高低收、涨跌幅、量额、振幅、换手率、市值、PE、累计复权因子、5/10/20/60/120 日及年初至今涨跌幅、涨跌停价等）。,无,"board, listing_date_since, page, page_size",4
121,A股股东 / 股权 / 公司事件,ft_stock_float_holders,查询 A 股十大流通股东。支持两种模式：① 指定 `stock_code` 返回该标的的全部历史十大流通股东记录；,无,"is_last, page, page_size, stock_code",4
122,A股股东 / 股权 / 公司事件,ft_stock_ggcg_em_handler,东方财富股东增减持数据。接口名与 `symbol` 参数对齐 AkShare `stock_ggcg_em`，`symbol` 为数据类型筛选：`全部`/`股东增持`/`股东减持`，默认 `全部`。,无,"page, page_size, symbol",3
123,资金 / 情绪 / 短线,ft_stock_ggmx_buy_ranking_handler,董监高持股变动增持排行。按时间窗口内每股最新 `change_date` 的增持金额降序排行。,无,"page, page_size, time_range",3
124,A股股东 / 股权 / 公司事件,ft_stock_ggmx_handler,东方财富董监高持股变动明细。支持按股票代码、变动方向（增持/减持）、变动日期范围分页查询。,无,"change_direction, end_date, page, page_size, start_date, stock_code",6
125,资金 / 情绪 / 短线,ft_stock_ggmx_sell_ranking_handler,董监高持股变动减持排行。按时间窗口内每股最新 `change_date` 的减持金额降序排行。,无,"page, page_size, time_range",3
126,A股股东 / 股权 / 公司事件,ft_stock_holders,查询 A 股十大股东。支持两种模式：① 指定 `stock_code` 返回该标的的全部历史十大股东记录；,无,"is_last, page, page_size, stock_code",4
127,A股股东 / 股权 / 公司事件,ft_stock_holders_number,查询 A 股股东人数。支持两种模式：① 指定 `stock_code` 返回该标的的全部历史股东人数记录；,无,"is_last, page, page_size, stock_code",4
128,美股,ft_stock_intraday_auction_volume,查询连续竞价成交占比（全市场聚合模式），按分钟返回当日（或指定交易日）全市场及分交易所的成交量/成交额占比分时序列。不传 `trade_date` 时返回当日实时市场连续竞价分时占比；,无,"page, page_size, trade_date",3
129,资金 / 情绪 / 短线,ft_stock_intraday_auction_volume_symbol,查询单只标的的连续竞价成交占比（个股模式），按分钟返回该标的当日（或指定交易日）成交量/成交额占比分时序列。不传 `trade_date` 时返回当日实时个股数据；,symbol,"page, page_size, symbol, trade_date",4
130,A股基础 / 行情,ft_stock_ipos,获取 A 股 IPO（新股发行）信息。每项含发行价、发行数量、网上发行数量、发行市盈率、行业市盈率、申购上限、申购代码、申购日期、上市日期等，带标的代码。,无,"page, page_size",2
131,A股股东 / 股权 / 公司事件,ft_stock_pledge_detail,股权质押个股详细，返回每只股票的报告日期、质押比例、质押笔数、质押市值、质押无限售股数、质押限售股数、较上年变动等。数据来源于中国证券登记结算公司（CSDC）`ashare_pledgecsdc` 表。,无,"is_last, page, page_size, stock_code",4
132,A股股东 / 股权 / 公司事件,ft_stock_pledge_summary,股权质押 A 股市场总览，返回交易日期、A 股质押总比例、质押公司数量、质押笔数、质押总股数、质押总市值、沪深 300 指数、沪深 300 周涨跌幅等总量指标。数据来源于中国证券登记结算公司（CSDC）`ashare_pledgecsdc` 表与市场行情聚合。,无,"page, page_size",2
133,资金 / 情绪 / 短线,ft_stock_rating_top5,查询指定日期券单评级分市场 Top5（飞兔数据来源）。按 `date` 返回该日期各分市场（all/xshg/xshe/bjse）评级 Top5 列表，含标的 symbolid、交易所 exid、等级、年化收益率、胜率等。,date,"date, type, variant",3
134,新闻 / 公告 / 研报,ft_stock_reports,查询 A 股研报列表，底层从 ClickHouse `eastmoney_stock_{year}` 表查询（按标的或按日期范围）。同一路径两种模式：① **按标的**——`stock_code` 存在时查询单票所有研报；,"type, page, page_size","end_date, page, page_size, start_date, stock_code, type",6
135,A股股东 / 股权 / 公司事件,ft_stock_share_chg,查询 A 股股东增减持明细。支持两种模式：① 指定 `stock_code` 按股票代码分页查询该标的的全部历史增减持记录；,无,"is_last, page, page_size, stock_code",4
136,A股股东 / 股权 / 公司事件,ft_stock_unlock_by_date_handler,按解禁日期范围查询全市场限售解禁批次及股东明细，批次维度分页。返回结构、嵌套股东明细字段与 `stock-unlock`（按证券代码查询）完全一致，区别在本接口按解禁日区间筛选全市场批次。,"start_date, end_date","end_date, page, page_size, start_date",4
137,A股股东 / 股权 / 公司事件,ft_stock_unlock_handler,按证券代码查询限售解禁批次及股东明细，批次维度分页。每个批次含解禁日、股东户数、解禁股数/当前流通股数/未流通股数、解禁市值、解禁比例（总量/流通）、新股价、限售股份类型、解禁前 20 日/后 20 日涨跌幅、爬取日期、来源，并嵌套该批次下的股东明细列表。,stock_code,"page, page_size, stock_code",3
138,A股基础 / 行情,ft_suspension_list,返回当日所有停牌股票列表，包含盘前停牌（status 8）和盘中临时停牌（status 9）、全天停牌（status 10）。每条含停牌类型、停牌时间、复牌时间（盘中临停才有时间字段）。,无,"page, page_size, trade_date",3
139,指数 / 行业 / 板块,ft_sw_industry_constituent_history,"查询单个申万行业的**成份股调入调出历史**，返回该行业（含一/二/三级行业归属）下的全部成份股及其调入日期（inDate）、调出日期（outDate）。返回 `ApiResponse` 形态（`{code,message,data:{total,items}}`，字段 camelCase）。",industry_code,industry_code,1
140,指数 / 行业 / 板块,ft_sw_industry_daily_metrics,查询单个申万行业的**日频估值/资金/量价**指标时间序列，含 PE（LYR/TTM 及分位/中位数）、PB、股息率、换手率、总市值、收盘价、破净比例、指数收盘、成交额及拥挤度等约 40 项字段（字段全部为字符串）。按行业层级（1/2/3）分表查询，单行业约 1200+ 个交易日。,"level, start_date, end_date, industry_code","end_date, industry_code, level, page, page_size, start_date",6
141,指数 / 行业 / 板块,ft_sw_industry_overview,"按交易日查询申万行业**全部层级**（一/二/三级行业）的估值概况快照，含成份股数、PE（LYR/TTM）及历史分位、PB 及分位、股息率（dv_ratio）及分位。返回 `PaginatedApiResponse`（自定义 `{code,message,data:{pageNum,pageSize,total,pages,records}}` 形态，字段为 camelCase）。",date,"date, level, page, page_size",4
142,港股 / 港股通 / AH,ft_sz_hk_stock_connect_members,获取深股通成份列表（即通过港股市场可买的深交所 A 股标的）。无入参、无分页，返回内存快照 `Arc<[StockConnectMember]>`，每项仅含成份标的代码（`SymbolKey`）。,无,无,0
143,宏观经济,ft_tax_revenue_monthly,查询全国税收收入月度汇总计算结果。按月份返回税收收入合计当月值（`file_id` = M00008508）、累计值（M00007635）、累计同比（M00007636），以及计算出的月度环比与月度同比。,无,无,0
144,指数 / 行业 / 板块,ft_ths_all_board_kline,获取同花顺**全部板块**（概念/行业/地区，csrc 跳过）在指定日期范围内的日 K 线。结果按板块再按日期拼接成一张长表，分页返回。,无,"end_date, page, page_size, start_date",4
145,指数 / 行业 / 板块,ft_ths_board_kline,获取单个同花顺板块的历史日 K 线（开高低收 + 成交量），全部数值按**字符串**返回。返回 `PaginatedResponse`，`total_items` 为该板块全部交易日数。,board_code,"board_code, page, page_size",3
146,指数 / 行业 / 板块,ft_ths_board_list,获取同花顺全部板块列表，含**概念 / 行业 / 地区 / 证监会（csrc）**四类模块。返回数组（非分页），当前在线约 493 个板块（概念 351 / 行业 90 / 地区 33 / csrc 19）。,无,无,0
147,新闻 / 公告 / 研报,ft_type_reports,按研报类型 + 日期范围查询研报，直接查 ClickHouse（不经 Redis 缓存）。支持 5 种研报类型：`MacroReport`（宏观）/ `IndustryReport`（行业）/ `BrokerMorningReport`（券商晨报）/ `StrategyReport`（策略）/ `NewStockReport`（新股）。,"rept_type, start_date, page, page_size","end_date, page, page_size, rept_type, start_date",5
148,美股,ft_us_balance,查询美股上市公司资产负债表数据，底表 `usstk_balance`（宽表，含资产类、负债类、所有者权益类共 ~100 个科目列）。对外输出为**长表 EAV** 结构（每行一个财务科目，而非宽表）：`ind_name` 是科目名、`ind_value` 是科目值。,stock_code,"end_date, page, page_size, period, report_type, start_date, stock_code",7
149,美股,ft_us_basic,查询美股上市公司基础信息，底表 `usstk_securityinfo`。返回每只股票的纯代码、中英文名称、上市/退市日期。,无,"page, page_size, stock_code",3
150,美股,ft_us_cashflow,查询美股上市公司现金流量表数据，返回**长表 EAV** 结构（每行一个财务科目，而非宽表）。数据按**财年 + 报告期**组织，跨股票按各自财年末可比。,stock_code,"end_date, page, page_size, period, report_type, start_date, stock_code",7
151,宏观经济,ft_us_economic,查询美国宏观经济指标时间序列。通过 `type` 指定指标类型，返回该指标的时间（年月或季度）、前值、现值、发布日期。,type,type,1
152,美股,ft_us_income,查询美股上市公司利润表数据，底表 `usstk_income`（宽表，每行一个报告期 + ~90 个财务科目列）。对外输出为**长表 EAV** 结构（每行一个财务科目，而非宽表）：`ind_name` 是科目名、`ind_value` 是科目值。,stock_code,"end_date, page, page_size, period, report_type, start_date, stock_code",7
153,日历 / 事件,ft_wallstreetcn_financial_calendar,查询华尔街见闻（wallstreetcn）财经日历，按日期范围返回该区间内的经济事件。每条含事件日期、事件时间、地区、事件名称、重要性、实际值/预测值/前值及原文链接。,"start_date, end_date","end_date, page, page_size, start_date",4
154,资金 / 情绪 / 短线,ft_xueqiu_rank,查询雪球股票排行榜最新一期快照。来源标识为雪球（xueqiu），支持按榜单组（关注 / 讨论 / 交易）与周期（本周新增 / 最热门）组合查询；,无,"page, page_size, period, rank_group, trade_date",5
155,聚合行情 / 旧工具,intraday_kline,"分时/分钟K线。type 默认 minute_kline(分钟级 OHLC,v0 /api/v0/stock-candlesticks 或 /api/v0/hk-stock-candlesticks,按 symbol 后缀路由,必填 symbol,interval_unit=minute,until_ts_millis 不传则取当前时间)；",无,"adjust, adjust_kind, date, days, futures_interval, interval_unit, limit, range, since, since_ts_millis, symbol, symbols, ts_ms, type, until, until_ts_millis",16
156,聚合行情 / 旧工具,margin,融资融券数据。type 默认 detail=融资融券明细（全市场分页）。,无,"date, page, page_size, stock, type",5
157,新闻 / 公告 / 研报,report_announcement_list,"公告列表(按日期查当天公告)。必填 date(YYYYMMDD,如 20260624)；",date,"date, page, page_size, sec_code",4
158,新闻 / 公告 / 研报,report_announcement_summary,公告摘要(按 announcement_id 查单条摘要)。必填 announcement_id(取自 report_announcement_list 返回的 announcement_id)。,announcement_id,announcement_id,1
159,新闻 / 公告 / 研报,semantic_search_news,新闻语义检索。按自然语言 query 做向量相似度搜索，返回相关新闻条目(含 title/content/article_url/publish_time/source_site/score；,query,"limit, query",2
